name,n,Γ1,Γ2,uncertainty,time,res,optimality,iterations,LB,UB,first_LB,first_UB,last_LB,last_UB
WagnerModel,100,20.0,20.0,0.2,8.427232,3240.1999999999994,true,8,"[3050.0, 3231.8000000000006, 3231.8000000000006, 3231.8000000000006, 3231.8000000000006, 3231.8000000000006, 3231.8000000000006, 3231.8000000000006, 3240.2000000000003]","[3362.0000000000005, 3299.6000000000004, 3272.600000000001, 3272.600000000001, 3272.600000000001, 3272.600000000001, 3272.600000000001, 3240.1999999999994, 3240.1999999999994]",3050.0,3362.0000000000005,3240.2000000000003,3240.1999999999994
WagnerModel,100,60.0,60.0,0.2,9.7449127,3514.8000000000006,true,10,"[3050.0, 3418.6000000000004, 3427.0, 3439.400000000001, 3454.200000000001, 3454.200000000001, 3512.8, 3512.8, 3512.8, 3512.8000000000006, 3514.800000000001]","[3625.2000000000007, 3570.8000000000006, 3570.8000000000006, 3534.4000000000015, 3534.4000000000015, 3517.2000000000007, 3517.2000000000007, 3517.2000000000007, 3517.2000000000007, 3514.8000000000006, 3514.8000000000006]",3050.0,3625.2000000000007,3514.800000000001,3514.8000000000006
WagnerModel,100,20.0,20.0,0.19999999999999998,16.2125154,3152.6000000000004,true,8,"[2965.0, 3137.7999999999997, 3137.7999999999997, 3137.7999999999997, 3137.7999999999997, 3137.7999999999997, 3143.3999999999996, 3150.6000000000004, 3152.599999999999]","[3276.2000000000007, 3219.400000000001, 3191.4000000000005, 3168.6000000000004, 3168.6000000000004, 3168.6000000000004, 3152.6000000000004, 3152.6000000000004, 3152.6000000000004]",2965.0,3276.2000000000007,3152.599999999999,3152.6000000000004
WagnerModel,100,60.0,60.0,0.19999999999999998,127.4036035,3423.6000000000004,true,17,"[2965.0, 3277.2, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.5999999999995, 3421.6, 3421.6, 3421.6, 3421.6, 3421.6, 3423.6]","[3530.400000000001, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004, 3423.6000000000004]",2965.0,3530.400000000001,3423.6,3423.6000000000004
WagnerModel,100,20.0,20.0,0.19999999999999998,14.9248687,3306.4000000000005,true,9,"[3116.0, 3295.6, 3299.8000000000006, 3300.7999999999997, 3300.8, 3300.8, 3304.4000000000005, 3304.4000000000005, 3305.400000000001, 3306.4000000000005]","[3395.2, 3334.6000000000004, 3318.199999999999, 3318.199999999999, 3318.199999999999, 3306.4000000000005, 3306.4000000000005, 3306.4000000000005, 3306.4000000000005, 3306.4000000000005]",3116.0,3395.2,3306.4000000000005,3306.4000000000005
WagnerModel,100,60.0,60.0,0.19999999999999998,28.6733008,3595.400000000001,true,13,"[3116.0, 3448.000000000002, 3522.400000000002, 3522.4000000000024, 3566.6000000000013, 3593.4000000000005, 3593.400000000001, 3593.400000000001, 3593.400000000001, 3593.400000000001, 3593.4000000000015, 3593.4000000000015, 3593.4000000000015, 3595.4000000000015]","[3664.8000000000006, 3648.0000000000014, 3636.0000000000014, 3636.0000000000014, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001, 3595.400000000001]",3116.0,3664.8000000000006,3595.4000000000015,3595.400000000001
WagnerModel,100,20.0,20.0,0.2,7202.8255639,3191.6,false,39,"[2990.0, 3149.8000000000015, 3167.8, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.4000000000005, 3172.8, 3172.8, 3172.8, 3172.8, 3172.8, 3172.8, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014, 3173.0000000000014]","[3284.4000000000005, 3284.4000000000005, 3246.600000000001, 3246.600000000001, 3246.600000000001, 3246.600000000001, 3246.600000000001, 3246.600000000001, 3246.600000000001, 3246.600000000001, 3235.2, 3235.2, 3223.0, 3223.0, 3223.0, 3223.0, 3223.0, 3223.0, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3197.6, 3191.6, 3191.6, 3191.6, 3191.6, 3191.6, 3191.6]",2990.0,3284.4000000000005,3173.0000000000014,3191.6
WagnerModel,100,60.0,60.0,0.2,232.631749,3450.7999999999997,true,53,"[2990.0, 3356.0000000000014, 3356.0000000000014, 3388.2000000000007, 3388.2000000000007, 3388.2000000000007, 3388.2000000000007, 3388.200000000002, 3388.200000000002, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3448.800000000001, 3449.800000000001, 3449.800000000001, 3450.800000000001]","[3514.8000000000006, 3514.8000000000006, 3514.8000000000006, 3514.8000000000006, 3514.8000000000006, 3496.6, 3483.4000000000005, 3483.4000000000005, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997, 3450.7999999999997]",2990.0,3514.8000000000006,3450.800000000001,3450.7999999999997
WagnerModel,100,20.0,20.0,0.19999999999999998,36.8951041,3240.8,true,18,"[3050.0, 3205.2000000000007, 3226.2000000000003, 3237.2000000000007, 3239.2000000000007, 3239.200000000001, 3239.200000000001, 3239.200000000001, 3239.200000000001, 3239.200000000001, 3239.200000000005, 3239.200000000005, 3239.200000000005, 3239.800000000001, 3239.800000000001, 3239.800000000001, 3239.800000000001, 3239.800000000001, 3240.8]","[3381.200000000001, 3312.000000000001, 3250.2000000000003, 3240.8000000000006, 3240.8000000000006, 3240.8000000000006, 3240.8000000000006, 3240.8000000000006, 3240.8000000000006, 3240.8000000000006, 3240.8000000000006, 3240.8, 3240.8, 3240.8, 3240.8, 3240.8, 3240.8, 3240.8, 3240.8]",3050.0,3381.200000000001,3240.8,3240.8
WagnerModel,100,60.0,60.0,0.19999999999999998,520.3987878,3510.7999999999997,true,35,"[3050.0, 3305.000000000001, 3472.000000000001, 3472.000000000001, 3472.000000000001, 3500.0000000000005, 3500.0000000000005, 3502.4, 3502.400000000001, 3502.400000000001, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3508.8, 3509.800000000001, 3509.800000000001, 3509.800000000001, 3509.800000000001, 3509.8000000000034, 3509.8000000000034, 3509.8000000000034, 3510.800000000005]","[3655.200000000001, 3556.400000000001, 3544.3999999999996, 3544.3999999999996, 3526.0, 3526.0, 3518.8, 3518.8, 3518.8, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.999999999999, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997, 3510.7999999999997]",3050.0,3655.200000000001,3510.800000000005,3510.7999999999997
